Date,Open,High,Low,Close,Adj Close,Volume
2006-03-01,9.834286,9.998571,8.238571,8.960000,7.756649,5798158100
2006-04-01,9.095715,10.292857,8.721429,10.055715,8.705207,5029820600
2006-05-01,10.110000,10.542857,8.384286,8.538571,7.391819,3902194800
2006-06-01,8.550000,9.014286,7.915714,8.181429,7.082642,4484155900
2006-07-01,8.217143,9.804286,7.165714,9.708571,8.404686,4369935500
2006-08-01,9.602858,10.000000,8.940000,9.692857,8.391080,4471911500
2006-09-01,9.782857,11.111428,9.688571,10.997143,9.520202,4430389600
2006-10-01,10.728572,11.800000,10.371428,11.582857,10.027248,3596989200
2006-11-01,11.585714,13.308572,11.112857,13.094286,11.335690,3458721000
2006-12-01,13.114285,13.190000,10.967143,12.120000,10.492254,4222698200
2007-01-01,12.327143,13.971429,11.700000,12.247143,10.602318,6802445300
2007-02-01,12.318571,12.972857,11.837143,12.087143,10.463806,3430588700
2007-03-01,12.004286,13.832857,11.964286,13.272857,11.490277,3979661000
2007-04-01,13.448571,14.642858,12.800000,14.257143,12.342370,3364935000
2007-05-01,14.227143,17.452858,14.078571,17.312857,14.987696,4341267000
2007-06-01,17.299999,18.230000,16.485714,17.434286,15.092814,5819885400
2007-07-01,17.292856,21.274286,17.042856,18.822857,16.294901,6004643400
2007-08-01,19.091429,19.950001,15.945714,19.782858,17.125967,6090199500
2007-09-01,19.991428,22.142857,18.571428,21.924286,18.979799,5232805900
2007-10-01,22.090000,27.160000,21.847143,27.135714,23.491320,5819447900
2007-11-01,26.942858,27.525715,21.518572,26.031429,22.535343,6549947600
2007-12-01,25.980000,28.994286,25.284286,28.297142,24.496765,4313169700
2008-01-01,28.467142,28.608572,18.020000,19.337143,16.740110,8793472100
2008-02-01,19.462856,19.512857,16.491428,17.860001,15.461356,6216488600
2008-03-01,17.777143,20.820000,16.857143,20.500000,17.746798,5731818400
2008-04-01,20.900000,25.714285,20.515715,24.850000,21.512579,5696745600
2008-05-01,24.994286,27.462856,24.571428,26.964285,23.342916,4647053600
2008-06-01,26.942858,27.135714,23.450001,23.920000,20.707483,4868948700
2008-07-01,23.461428,25.844286,20.932858,22.707144,19.657515,4937440200
2008-08-01,22.842857,25.778572,21.844286,24.218571,20.965956,3271438800
2008-09-01,24.628571,24.785715,14.370000,16.237143,14.056450,6016890600
2008-10-01,15.988571,16.628571,12.142858,15.370000,13.305768,10356677800
2008-11-01,15.132857,15.970000,11.305715,13.238571,11.460600,5904865400
2008-12-01,13.042857,14.800000,12.078571,12.192857,10.555326,5053461700
2009-01-01,12.268572,13.881429,11.171429,12.875714,11.146472,4526435200
2009-02-01,12.728572,14.714286,12.358571,12.758572,11.045059,3466862700
2009-03-01,12.588572,15.711429,11.761429,15.017143,13.000303,3856149500
2009-04-01,14.870000,18.171429,14.841429,17.975714,15.561527,2955420300
2009-05-01,17.971428,19.414286,17.054285,19.401428,16.795763,2364285700
2009-06-01,19.495714,20.914286,18.982857,20.347143,17.614468,3168893000
2009-07-01,20.500000,23.571428,19.202858,23.341429,20.206615,2735534200
2009-08-01,23.601429,24.641428,22.774286,24.030001,20.802713,2041281200
